Ticker
AADI
ACES
ADCP
ADHI
ADMR
ADRO
AGRO
AKRA
AMMN
AMRT
ANTM
ARCI
ARTO
ASII
BBCA
BBNI
BBRI
BBTN
BMRI
BREN
BRIS
BRMS
BUKA
BUMI
CPIN
DEWA
ELSA
EMTK
ENRG
ERAA
EXCL
GOTO
HEAL
HMSP
HRUM
ICBP
INCO
INDF
INDY
INKP
INTP
ISAT
ITMG
JSMR
JPFA
KLBF
MAPI
MBMA
MDKA
MEDC
MYOR
NCKL
PGAS
PGEO
PTBA
PTPP
PTRO
PWON
SMGR
TLKM
TOWR
TPIA
UNTR
UNVR
WIKA
WTON
ACES
AXIO
AYAM
AYLS
SCMA
ACST
MICE
ECII
IGAR
POLU
CARE
LION
TIRA
ADMG
AGRO
ALKA
ALMI
APLN
ASRI
BABA
BABP
BACA
BAJA
BAPA
BCIC
BESS
BEST
BIPI
BKSL
BKSW
BMTR
BNBR
BOLA
BPFI
BPII
BPTR
BRMS
BSIM
BUMI
BVIC
CARS
CASH
CENT
CFIN
CINT
CNTX
COCO
DEFI
DEWA
DILD
DIVA
DOOH
DPTC
DSFI
EAST
ELTY
ENRG
ESSA
ETWA
FOOD
